nome_arquivo,titulo,label
20120904-MONOGRAFIA_0.txt,Estudo Tecnológico e Modelagem Reacional para Processo Fischer-Tropsch com Gás Natural,downstream
20121011-MONOGRAFIA_0 (2).txt,ESTUDOS AMBIENTAIS NAS ÁREAS DE ATUAÇÃO DA INDÚSTRIA DO PETRÓLEO,interdisciplinar
20121011-MONOGRAFIA_0.txt,A CONTRIBUIÇÃO DOS BIOMARCADORES  NA GEOQUÍMICA MARINHA,interdisciplinar
20121011-TESEMSC_0 (2).txt,"AVALIAÇÃO DO IMPACTO DA ATIVIDADE SÍSMICA SOBRE A CAPTURA DE PEIXES ATRAVÉS DE MONITORAMENTO DE DESEMBARQUE PESQUEIRO: UM ESTUDO DE CASO NO LITORAL DO  RIO DE JANEIRO, BRASIL",upstream
20121011-TESEMSC_0.txt,Avaliação da Inﬂuência da Variabilidade Temporal do Vento noTransporte e Formação dos Processos de Mesoescala da Corrente do Brasil,interdisciplinar
20121015-TESEMSC_0.txt,"DIAGNÓSTICO AMBIENTAL DO CONE DO RIO GRANDE – BACIA DE PELOTAS, RS",interdisciplinar
20121105-MONOGRAFIA_0.txt,MODELO DE PREVISÃO DE DEMANDA POR COMBUSTÍVEIS AUTOMOTIVOS NO BRASIL,downstream
20121105-TESEMSC_0 (1).txt,INFLUÊNCIA DE PAR ÂMETROS GEOMÉTRICOS NA RESISTÊNCIA AOCOLAPSO E À FADIGA DE CASCAS CILÍNDRICAS REFORÇADAS SOBPRESSÃO EXTERNA,upstream
20121105-TESEMSC_0.txt,ADAPTAÇÃO REGULATÓRIA NA INDÚSTRIA DE BIOCOMBUSTÍVEIS,downstream
20121107-TESEMSC_0.txt,"EXTRAÇÃO, PURIFICAÇÃO E IMOBILIZAÇÃO DE LIPASES VEGETAIS DESTINADAS À SÍNTESE DE BIODIESEL E ÉSTERES",downstream
20121113-TESEMSC_0.txt,SIMULAÇÃO DINÂMICA DO PROCESSO DE DESTILAÇÃO DE BIOETANOL EM SIMULADOR BASEADO EM EQUAÇÕES (EMSO),downstream
20121119-TESEMSC_0.txt,PRODUÇÃO DE ETANOL E HIDROLISADO PROTÉICO DA CASCA DE SOJA,downstream
20121130-MONOGRAFIA_0.txt,ANÁLISE DE SISTEMAS DE COGERAÇÃO “ANÁLISE DE SISTEMAS DE COGERAÇÃO EM INSTALAÇÕES OFFSHOREEM INSTALAÇÕES OFFSHORE UTILIZANDO MOTORES DUAL FUEL E TURBINAS A GÁS”,upstream
20121206-TESEDSC_1.txt,INTEGRAÇÃO DE TÉCNICAS COMPUTACIONAIS COMO CONTRIBUIÇÃO PARA O MAPEAMENTO DOS ÍNDICES DE SENSIBILIDADE FLUVIAL A DERRAMES DE ÓLEO NA REGIÃO DE COARI (AM),interdisciplinar
20121217-MONOGRAFIA_0.txt,Controle Avançado de Técnicas de Perfuração com Pressão Controlada,upstream
20121220-MONOGRAFIA_0.txt,ESTUDO REOLÓGICO DE FLUIDOS DE PERFURAÇÃO EM  DIFERENTES TEMPERATURAS,upstream
20130226-TESEMSC_0.txt,Síntese por electrospinning e caracterização microestrutural de fibras de óxido de cério dopadas com cobre para combustão catalítica de metano ,downstream
20130320-TESEMSC_0.txt,Caracterização de águas produzidas provenientes de campos petrolíferos onshore do estado de Sergipe,upstream
20130513-TESEMSC_0.txt,VALIDAÇÃO DE UM ALGORITMO NÃO LINEAR PARA SIMULAÇÕESNUMÉRICAS NO DOMÍNIO DO TEMPO DE MOVIMENTOS DE CORPOS EMPRESENÇA DE ONDAS,upstream
20130607-TESEMSC_0.txt,CONTROLE DE VIBRAÇÕES MECÂNICAS TIPO “STICK-SLIP” EM COLUNAS DE PERFURAÇÃO,upstream
20131018-MONOGRAFIA_0 (2).txt,Remoção de metais da água de produção utilizando tensoativo,upstream
20131018-MONOGRAFIA_0.txt,Avaliação do desempenho e das emissões de um motor ciclo Diesel utilizando sistemas; Diesel/Água/Biodiesel/Óleo Vegetal,downstream
20131018-TESEMSC_0.txt,MODELAGEM E SIMULAÇÃO DA SOLUBILIZAÇÃO DA PARAFINA EM TUBOS CIRCULARES E EM REGIME LAMINAR,downstream
20131205-TESEMSC_0.txt,Obtenção por electrospinning e caracterização de fibras nanoestruturadas de TiO2 e sua aplicação fotocatalítica,interdisciplinar
20131211-MONOGRAFIA_0.txt,ESTUDO PRELIMINAR DA DEPOSIÇÃO DE FILMES DUROS POR PLASMA EM INSERTOS DE METAL DURO,interdisciplinar
20140128-TESEMSC_0.txt,O PROBLEMA DO EFEITO DE BORDA NA DETERMINAÇÃO DA PROFUNDIDADE DE FONTES DE CAMPOS POTENCIAIS CONTINUADOS ESCALADOS E DE SUAS DERIVADAS VERTICAIS,interdisciplinar
20140218-MONOGRAFIA_0.txt,ANÁLISE E MODELAGEM REOLÓGICA DA INTERAÇÃODE SISTEMAS POLIMÉRICOS,downstream
20140218-TESEMSC_0.txt,NANOEMULSÕES APLICADAS À RECUPERAÇÃO AVANÇADA DE PETRÓLEO,upstream
20140220-MONOGRAFIA_0.txt,"Obtenção de Microemulsão, Utilizando Nonilfenoletoxilado, Empregada na preparação de um Fluido de Perfuração Base Óleo: Avaliação das Propriedades Reológicas",upstream
20140227-MONOGRAFIA_0.txt,Obtenção de Emulsões Asfálticas Modificadas com Vermiculita,downstream
20140327-TESEMSC_0 (1).txt,AVALIAÇÃO DA TOXIDEZ E POTENCIAL DE FITORREMEDIAÇÃO DA ÁGUA DE PRODUÇÃO DE PETRÓLEO SALINA PELA HALÓFITA,upstream
